Scholarship Name,Eligibility,Deadline,Link
"Government Research Adhichatra, Maharashtra 2024-25","be an Indian citizen be domiciled in Maharashtra have secured a minimum of 60% marks in their postgraduate degree (including B.A., B.Sc., B.Ed., M.A., M.Sc., and M.Ed.) be currently enrolled in one of the following Maharashtra institutions:Government Science Institutes (Mumbai, Nagpur, Aurangabad)Government Vidarbha Gyan Vigyan Science Institute (Amravati)Vasant Rao Naik Mahavidyalaya College (Nagpur)Universities and their affiliated colleges Government Science Institutes (Mumbai, Nagpur, Aurangabad) Government Vidarbha Gyan Vigyan Science Institute (Amravati) Vasant Rao Naik Mahavidyalaya College (Nagpur) Universities and their affiliated colleges",N/A,https://www.buddy4study.com/scholarship/government-research-adhichatra-maharashtra-2024-25
"Education Concession to Children of Freedom Fighters, Maharashtra 2024-25","be an Indian citizen be domiciled in Maharashtra be the ward, wife, or widow of a freedom fighter",N/A,https://www.buddy4study.com/scholarship/education-concession-to-children-of-freedom-fighters-maharashtra-2024-25
"Jawaharlal Nehru University Scholarship, Maharashtra 2024-25",be a domicile of Maharashtra be pursuing an undergraduate or postgraduate degree be studying at Jawaharlal Nehru University,N/A,https://www.buddy4study.com/scholarship/jawaharlal-nehru-university-scholarship-maharashtra-2024-25
"Assistance to Meritorious Students Scholarship - Senior Level, Maharashtra 2024-25",be a domicile of Maharashtra have passed Class 12 from recognised institutions/schools have secured the top rank in both the secondary and higher secondary examinations hold a sanction letter from the Director of Higher Education (DHE),N/A,https://www.buddy4study.com/scholarship/assistance-to-meritorious-students-scholarship-senior-level-maharashtra-2024-25
"Vocational Training Fee Reimbursement Scholarship for SEBC and EWS Students, Maharashtra 2024-25","be an Indian citizen be a domicile of Maharashtra belong to the Socially and Economically Backward Class (SEBC) and Open category (Economically Weaker Section - EWS) have been admitted through the Public-Private Partnership (PPP) scheme in Government Industrial Training Institutes (ITIs) or Private ITIs have been admitted through the Central Online Admission Process have been admitted to a course approved by the Directorate General of Training (DGT), New Delhi or the Maharashtra State Council for Vocational Training (MSCVT) not have availed any benefit for a course previously from a Government or Private ITI not have availed any benefit from training programs sponsored by the State/Central Government/Department/Local Body/Company or Corporation have an annual family income of more than ₹2,50,000 but less than or equal to ₹8,00,000",N/A,https://www.buddy4study.com/scholarship/vocational-training-fee-reimbursement-scholarship-for-sebc-and-ews-students-maharashtra-2024-25
"DTE Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Yojna (EBC) Students, Maharashtra 2024-25","be an Indian citizen be a domicile of Maharashtra have taken admission in a professional and technical course (diploma/graduation/postgraduation degree) as mentioned in the Government Resolution (GR) be admitted through a Centralized Admission Process (CAP) have secured a minimum of 50% attendance in the previous semester (except for fresh college admits) have an annual family income of less than ₹8,00,000",N/A,https://www.buddy4study.com/scholarship/dte-rajarshi-chhatrapati-shahu-maharaj-shikshan-shulkh-shishyavrutti-yojna-ebc-students-maharashtra-2024-25
"DTE Dr. Punjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna, Maharashtra 2024-25","be a domicile of Maharashtra be a child of registered labour or child of Alpabhudharak (Marginal Land Holder) be admitted to professional and technical courses including diploma/graduation/postgraduation degree as mentioned in the Government Resoulution (GR) hold a bonafide certificate from the respective institution have secured a minimum of 50% attendance in the previous semester (except for those freshly admitted to college) have an annual family income of less than ₹8,00,000",N/A,https://www.buddy4study.com/scholarship/dte-dr-punjabrao-deshmukh-vasatigruh-nirvah-bhatta-yojna-maharashtra-2024-25
"Open Merit Scholarships in Junior College, Maharashtra 2024-25",be a domicile of Maharashtra be studying in Class 11 or 12 in a recognised institution/school have secured a minimum of 60% marks in the SSC examination on the first attempt,N/A,https://www.buddy4study.com/scholarship/open-merit-scholarships-in-junior-college-maharashtra-2024-25
"State Minority Scholarship Part II (DHE), Maharashtra 2024-25","be a domicile of Maharashtra hold a graduation or postgraduation degree in Arts, Commerce, Science, Law, or Education have an annual family income of up to ₹8,00,000",N/A,https://www.buddy4study.com/scholarship/state-minority-scholarship-part-ii-dhe-maharashtra-2024-25
"Merit Scholarships for EBC Students, Maharashtra 2024-25",be an Indian citizen be a domicile of Maharashtra belong to the Economically Backward Class (EBC) category be studying in Class 11 or 12 have secured a minimum of 50% marks in the SSC examination have passed the examination in the first attempt,N/A,https://www.buddy4study.com/scholarship/merit-scholarships-for-ebc-students-maharashtra-2023-24-1
"State Minority Scholarship for Pursuing Higher Professional Education Scholarship (Part I), Maharashtra 2024-25","be an Indian citizen be a domicile of Maharashtra belong to minority communities including Muslim, Buddhist, Christian, Sikh, Parsi, Jain, and Jewish have passed SSC from Maharashtra have taken admission in professional or technical diploma/degree courses hold a bonafide certificate from the respective institution have got admission through the Centralized Admission Process (CAP)/Institute Level have an annual family income not exceeding ₹8,00,000",N/A,https://www.buddy4study.com/scholarship/state-minority-scholarship-for-pursuing-higher-professional-education-scholarship-part-i-maharashtra-2024-25
"Scholarship for Minority Students Pursuing Higher and Professional Courses (DMER), Maharashtra 2024-25","be an Indian citizen be a domicile of Maharashtra belong to minority communities including Muslim, Buddhist, Christian, Jain, Sikh, Parsi, Jewish have taken admission to a course through CET/competitive exam or on the basis of marks obtained in Higher Secondary School (HSC) have taken admission in one of the following courses:Bachelor of Medicine, Bachelor of Surgery (MBBS)Bachelor of Dental Surgery (BDS)Bachelor of Ayurvedic Medicine and Surgery (BAMS)Bachelor of Homeopathic Medicine and Surgery (BHMS)Bachelor of Unani Medicine and Surgery (BUMS)Bachelor of Physiotherapy (BPTH)Bachelor of Occupational Therapy (BOTH)Bachelor in Audiology and Speech-Language Pathology (BASLP)Bachelor in Prosthetics and Orthotics (BPO)Bachelor of Paramedical Technology (BPMT)B.Sc./M.Sc. NursingOphthalmic AssistantOptometryPost Basic B.Sc NursingCourses affiliated with Maharashtra University of Health Science, Nashik Bachelor of Medicine, Bachelor of Surgery (MBBS) Bachelor of Dental Surgery (BDS) Bachelor of Ayurvedic Medicine and Surgery (BAMS) Bachelor of Homeopathic Medicine and Surgery (BHMS) Bachelor of Unani Medicine and Surgery (BUMS) Bachelor of Physiotherapy (BPTH) Bachelor of Occupational Therapy (BOTH) Bachelor in Audiology and Speech-Language Pathology (BASLP) Bachelor in Prosthetics and Orthotics (BPO) Bachelor of Paramedical Technology (BPMT) B.Sc./M.Sc. Nursing Ophthalmic Assistant Optometry Post Basic B.Sc Nursing Courses affiliated with Maharashtra University of Health Science, Nashik have an annual family income of less than or equal to ₹8,00,000",N/A,https://www.buddy4study.com/scholarship/scholarship-for-minority-students-pursuing-higher-and-professional-courses-dmer-maharashtra-2024-25
"Post-Matric Scholarship to VJNT Students, Maharashtra 2024-25","be an Indian citizen be a domicile of Maharashtra belong to the Vimukta Jati and Nomadic Tribes (VJNT) category be studying in Class 11 and higher in courses by the government have secured 75% attendance for the current year have an annual family income of less than or equal to ₹1,50,000",N/A,https://www.buddy4study.com/scholarship/post-matric-scholarship-to-vjnt-students-maharashtra-2024-25
"Tuition Fees and Examination Fees to VJNT Students, Maharashtra 2024-25","be an Indian citizen be a domicile of Maharashtra belong to the Vimukta Jatis & Nomadic Tribes (VJNT) category be pursuing a government-approved course at the post-matric level (Class 11 and above) in a government/government-aided/private institution have taken admission through the Centralised Admission Process (CAP) process (for professional courses) have an annual family income of less than or equal to ₹8,00,000",N/A,https://www.buddy4study.com/scholarship/tuition-fees-and-examination-fees-to-vjnt-students-maharashtra
"Rajarshi Chhatrapati Shahu Maharaj Merit Scholarship for VJNT and SBC Category, Maharashtra 2024-25",be an Indian citizen be a domicile of Maharashtra belong to Vimukta Jati and Nomadic Tribes (VJNT) or Special Backward Class (SBC) category be studying in Class 11 and 12 in a Junior College have secured 75% and above marks in the Class 10 examination,N/A,https://www.buddy4study.com/scholarship/rajarshi-chhatrapati-shahu-maharaj-merit-scholarship-for-vjnt-and-sbc-category-maharashtra-2024-25
"Post-Matric Scholarship to OBC Students, Maharashtra 2024-25","be an Indian citizen be a domicile of Maharashtra belong to the Other Backward Classes (OBC) category be studying in Class 11 and higher in courses approved by the government have secured 75% attendance for the current year have an annual family income of less than or equal to ₹1,50,000",N/A,https://www.buddy4study.com/scholarship/post-matric-scholarship-to-obc-students-maharashtra-2024-25
"Post-Matric Scholarship to SBC Students, Maharashtra 2024-25","be an Indian citizen be a domicile of Maharashtra belong to the Special Backward Classes (SBC) category be pursuing a government-approved course at the post-matric level have obtained admission through the Centralised Admission Process (CAP) round (for students pursuing professional courses) have 75% attendance for the current year have an annual family income less than or equal to ₹1,50,000",N/A,https://www.buddy4study.com/scholarship/post-matric-scholarship-to-sbc-students-maharashtra-2024-25
"Savitribai Phule Scholarship for SC Girl Students of Class 5 to 10, Maharashtra 2024-25",be an Indian citizen be a domicile of Maharashtra belong to the Scheduled Caste (SC) category be a female student currently studying in Classes 5 to 10 in a government/aided school,N/A,https://www.buddy4study.com/scholarship/savitribai-phule-scholarship-for-sc-girl-students-of-class-five-to-ten-maharashtra
